x,y,z,dx,dy,dz,time
-14317.25145182,39666.06625318,708.29687150,-2.890471516,-1.043175071,0.071152106,2014-03-07T16:00:00
-15180.88263264,39343.66249299,729.47548199,-2.866963209,-1.106141270,0.070006536,2014-03-07T16:05:00
-16037.25566693,39002.44811109,750.30549368,-2.842084842,-1.168576884,0.068827511,2014-03-07T16:10:00
-16885.96132312,38642.58675489,770.77695250,-2.815848374,-1.230452121,0.067615595,2014-03-07T16:15:00
-17726.59405380,38264.25096888,790.88007609,-2.788266408,-1.291737461,0.066371370,2014-03-07T16:20:00
-18558.75218866,37867.62211149,810.60525845,-2.759352187,-1.352403667,0.065095429,2014-03-07T16:25:00
-19382.03812541,37452.89026771,829.94307448,-2.729119587,-1.412421799,0.063788385,2014-03-07T16:30:00
-20196.05851893,37020.25415759,848.88428451,-2.697583112,-1.471763230,0.062450862,2014-03-07T16:35:00
-21000.42446818,36569.92104071,867.41983862,-2.664757886,-1.530399658,0.061083501,2014-03-07T16:40:00
-21794.75170108,36102.10661658,885.54088098,-2.630659644,-1.588303121,0.059686955,2014-03-07T16:45:00
-22578.66075713,35617.03492104,903.23875403,-2.595304727,-1.645446007,0.058261893,2014-03-07T16:50:00
-23351.77716765,35114.93821881,920.50500262,-2.558710072,-1.701801068,0.056808996,2014-03-07T16:55:00
-24113.73163373,34596.05689204,937.33137797,-2.520893207,-1.757341437,0.055328959,2014-03-07T17:00:00
-24864.16020161,34060.63932512,953.70984161,-2.481872238,-1.812040635,0.053822489,2014-03-07T17:05:00
-25602.70443553,33508.94178572,969.63256921,-2.441665844,-1.865872585,0.052290306,2014-03-07T17:10:00
-26329.01158795,32941.22830205,985.09195425,-2.400293267,-1.918811629,0.050733144,2014-03-07T17:15:00
-27042.73476700,32357.77053652,1000.08061166,-2.357774302,-1.970832532,0.049151745,2014-03-07T17:20:00
-27743.53310117,31758.84765580,1014.59138130,-2.314129289,-2.021910500,0.047546866,2014-03-07T17:25:00
-28431.07190110,31144.74619730,1028.61733137,-2.269379102,-2.072021191,0.045919273,2014-03-07T17:30:00
-29105.02281846,30515.75993227,1042.15176167,-2.223545139,-2.121140721,0.044269743,2014-03-07T17:35:00
-29765.06400172,29872.18972540,1055.18820679,-2.176649314,-2.169245685,0.042599066,2014-03-07T17:40:00
-30410.88024892,29214.34339114,1067.72043921,-2.128714043,-2.216313159,0.040908038,2014-03-07T17:45:00
-31042.16315721,28542.53554673,1079.74247215,-2.079762235,-2.262320715,0.039197467,2014-03-07T17:50:00
-31658.61126915,27857.08746205,1091.24856254,-2.029817283,-2.307246430,0.037468170,2014-03-07T17:55:00
-32259.93021576,27158.32690631,1102.23321360,-1.978903050,-2.351068899,0.035720973,2014-03-07T18:00:00
-32845.83285611,26446.58799170,1112.69117758,-1.927043859,-2.393767243,0.033956709,2014-03-07T18:05:00
-33416.03941359,25722.21101409,1122.61745812,-1.874264482,-2.435321116,0.032176222,2014-03-07T18:10:00
-33970.27760858,24985.54229076,1132.00731271,-1.820590126,-2.475710721,0.030380360,2014-03-07T18:15:00
-34508.28278758,24236.93399535,1140.85625490,-1.766046423,-2.514916814,0.028569982,2014-03-07T18:20:00
-35029.79804879,23476.74399002,1149.16005640,-1.710659419,-2.552920716,0.026745951,2014-03-07T18:25:00
-35534.57436392,22705.33565498,1156.91474912,-1.654455557,-2.589704321,0.024909138,2014-03-07T18:30:00
-36022.37069634,21923.07771539,1164.11662705,-1.597461669,-2.625250101,0.023060420,2014-03-07T18:35:00
-36492.95411540,21130.34406572,1170.76224799,-1.539704963,-2.659541123,0.021200678,2014-03-07T18:40:00
-36946.09990686,20327.51359186,1176.84843518,-1.481213007,-2.692561046,0.019330800,2014-03-07T18:45:00
-37381.59167960,19514.96999054,1182.37227883,-1.422013719,-2.724294137,0.017451679,2014-03-07T18:50:00
-37799.22146821,18693.10158683,1187.33113748,-1.362135351,-2.754725275,0.015564211,2014-03-07T18:55:00
-38198.78983165,17862.30114926,1191.72263925,-1.301606479,-2.783839958,0.013669296,2014-03-07T19:00:00
-38580.10594792,17022.96570298,1195.54468298,-1.240455986,-2.811624311,0.011767840,2014-03-07T19:05:00
-38942.98770460,16175.49634077,1198.79543921,-1.178713052,-2.838065092,0.009860748,2014-03-07T19:10:00
-39287.26178528,15320.29803229,1201.47335105,-1.116407137,-2.863149699,0.007948931,2014-03-07T19:15:00
-39612.76375184,14457.77943137,1203.57713493,-1.053567967,-2.886866172,0.006033302,2014-03-07T19:20:00
-39919.33812256,13588.35268167,1205.10578118,-0.990225524,-2.909203205,0.004114773,2014-03-07T19:25:00
-40206.83844591,12712.43322064,1206.05855455,-0.926410028,-2.930150147,0.002194261,2014-03-07T19:30:00
-40475.12737020,11830.43958192,1206.43499454,-0.862151922,-2.949697008,0.000272682,2014-03-07T19:35:00
-40724.07670880,10942.79319633,1206.23491562,-0.797481862,-2.967834464,-0.001649048,2014-03-07T19:40:00
-40953.56750109,10049.91819145,1205.45840730,-0.732430699,-2.984553861,-0.003570012,2014-03-07T19:45:00
-41163.49006909,9152.24118990,1204.10583415,-0.667029465,-2.999847219,-0.005489292,2014-03-07T19:50:00
-41353.74406964,8250.19110654,1202.17783557,-0.601309358,-3.013707236,-0.007405974,2014-03-07T19:55:00
-41524.23854215,7344.19894448,1199.67532552,-0.535301730,-3.026127293,-0.009319143,2014-03-07T20:00:00
-41674.89195205,6434.69759013,1196.59949208,-0.469038067,-3.037101455,-0.011227886,2014-03-07T20:05:00
-41805.63222960,5522.12160741,1192.95179689,-0.402549981,-3.046624474,-0.013131292,2014-03-07T20:10:00
-41916.39680440,4606.90703106,1188.73397450,-0.335869189,-3.054691791,-0.015028453,2014-03-07T20:15:00
-42007.13263529,3689.49115935,1183.94803148,-0.269027501,-3.061299542,-0.016918463,2014-03-07T20:20:00
-42077.79623582,2770.31234610,1178.59624554,-0.202056803,-3.066444555,-0.018800421,2014-03-07T20:25:00
-42128.35369517,1849.80979221,1172.68116442,-0.134989045,-3.070124354,-0.020673428,2014-03-07T20:30:00
-42158.78069456,928.42333696,1166.20560473,-0.067856223,-3.072337160,-0.022536591,2014-03-07T20:35:00
-42169.06251912,6.59324856,1159.17265054,-0.000690367,-3.073081892,-0.024389020,2014-03-07T20:40:00
-42159.19406524,-915.23998504,1151.58565203,0.066476480,-3.072358166,-0.026229831,2014-03-07T20:45:00
-42129.17984334,-1836.63586575,1143.44822382,0.133612269,-3.070166298,-0.028058145,2014-03-07T20:50:00
-42079.03397614,-2757.15409484,1134.76424332,0.200684967,-3.066507301,-0.029873090,2014-03-07T20:55:00
-42008.78019231,-3676.35478244,1125.53784885,0.267662570,-3.061382889,-0.031673798,2014-03-07T21:00:00
-41918.45181572,-4593.79865676,1115.77343776,0.334513114,-3.054795468,-0.033459410,2014-03-07T21:05:00
-41808.09174996,-5509.04727318,1105.47566426,0.401204699,-3.046748145,-0.035229073,2014-03-07T21:10:00
-41677.75245851,-6421.66322286,1094.64943731,0.467705495,-3.037244719,-0.036981943,2014-03-07T21:15:00
-41527.49594025,-7331.21034088,1083.29991822,0.533983763,-3.026289684,-0.038717181,2014-03-07T21:20:00
-41357.39370055,-8237.25391391,1071.43251828,0.600007867,-3.013888223,-0.040433959,2014-03-07T21:25:00
-41167.52671777,-9139.36088713,1059.05289615,0.665746290,-3.000046209,-0.042131457,2014-03-07T21:30:00
-40957.98540538,-10037.10007041,1046.16695524,0.731167650,-2.984770200,-0.043808864,2014-03-07T21:35:00
-40728.86956951,-10930.04234367,1032.78084085,0.796240712,-2.968067439,-0.045465378,2014-03-07T21:40:00
-40480.28836212,-11817.76086124,1018.90093731,0.860934407,-2.949945845,-0.047100208,2014-03-07T21:45:00
-40212.36022970,-12699.83125521,1004.53386496,0.925217842,-2.930414016,-0.048712572,2014-03-07T21:50:00
-39925.21285756,-13575.83183760,989.68647700,0.989060318,-2.909481220,-0.050301699,2014-03-07T21:55:00
-39618.98310978,-14445.34380135,974.36585626,1.052431344,-2.887157396,-0.051866830,2014-03-07T22:00:00
-39293.81696474,-15307.95141988,958.57931183,1.115300650,-2.863453141,-0.053407216,2014-03-07T22:05:00
-38949.86944640,-16163.24224535,942.33437562,1.177638203,-2.838379715,-0.054922121,2014-03-07T22:10:00
-38587.30455119,-17010.80730527,925.63879879,1.239414220,-2.811949027,-0.056410819,2014-03-07T22:15:00
-38206.29517074,-17850.24129759,908.50054807,1.300599185,-2.784173637,-0.057872599,2014-03-07T22:20:00
-37807.02301028,-18681.14278408,890.92780200,1.361163858,-2.755066744,-0.059306761,2014-03-07T22:25:00
-37389.67850292,-19503.11438182,872.92894704,1.421079293,-2.724642183,-0.060712619,2014-03-07T22:30:00
-36954.46071975,-20315.76295291,854.51257361,1.480316850,-2.692914419,-0.062089499,2014-03-07T22:35:00
-36501.57727583,-21118.69979218,835.68747201,1.538848212,-2.659898538,-0.063436744,2014-03-07T22:40:00
-36031.24423210,-21911.54081277,816.46262825,1.596645391,-2.625610242,-0.064753706,2014-03-07T22:45:00
-35543.68599327,-22693.90672964,796.84721980,1.653680749,-2.590065840,-0.066039756,2014-03-07T22:50:00
-35039.13520176,-23465.42324079,776.85061124,1.709927008,-2.553282243,-0.067294277,2014-03-07T22:55:00
-34517.83262766,-24225.72120615,756.48234979,1.765357263,-2.515276953,-0.068516668,2014-03-07T23:00:00
-33980.02705482,-24974.43682410,735.75216081,1.819944995,-2.476068057,-0.069706343,2014-03-07T23:05:00
-33425.97516316,-25711.21180543,714.66994320,1.873664083,-2.435674216,-0.070862732,2014-03-07T23:10:00
-32855.94140714,-26435.69354478,693.24576462,1.926488819,-2.394114661,-0.071985280,2014-03-07T23:15:00
-32270.19789054,-27147.53528941,671.48985682,1.978393916,-2.351409178,-0.073073449,2014-03-07T23:20:00
-31669.02423758,-27846.39630515,649.41261070,2.029354525,-2.307578103,-0.074126715,2014-03-07T23:25:00
-31052.70746044,-28531.94203965,627.02457139,2.079346244,-2.262642311,-0.075144575,2014-03-07T23:30:00
-30421.54182322,-29203.84428264,604.33643327,2.128345129,-2.216623208,-0.076126538,2014-03-07T23:35:00
-29775.82870243,-29861.78132327,581.35903486,2.176327709,-2.169542717,-0.077072132,2014-03-07T23:40:00
-29115.87644406,-30505.43810430,558.10335366,2.223270994,-2.121423271,-0.077980905,2014-03-07T23:45:00
-28442.00021735,-31134.50637333,534.58050098,2.269152485,-2.072287802,-0.078852418,2014-03-07T23:50:00
-27754.52186517,-31748.68483065,510.80171657,2.313950191,-2.022159728,-0.079686252,2014-03-07T23:55:00
-27053.76975128,-32347.67927393,486.77836336,2.357642631,-1.971062945,-0.080482006,2014-03-08T00:00:00
-26340.07860443,-32931.20273954,462.52192200,2.400208854,-1.919021816,-0.081239297,2014-03-08T00:05:00
-25613.78935937,-33498.97564044,438.04398539,2.441628439,-1.866061154,-0.081957760,2014-03-08T00:10:00
-24875.24899486,-34050.72590064,413.35625322,2.481881513,-1.812206218,-0.082637048,2014-03-08T00:15:00
-24124.81036880,-34586.18908604,388.47052632,2.520948756,-1.757482694,-0.083276834,2014-03-08T00:20:00
